"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Superintendência / RS","810025/2011","Requerimento de Registro de Extração","Registro de Extração","87.613.287/0001-03","Prefeitura Municipal de Marcelino Ramos","MARCELINO RAMOS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810025/2016","Requerimento de Registro de Extração","Registro de Extração","87.490.306/0001-51","Prefeitura Municipal de Restinga Seca","RESTINGA SÊCA - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810025/2018","Requerimento de Registro de Extração","Registro de Extração","91.551.762/0001-31","Prefeitura Municipal de Manoel Viana","MANOEL VIANA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810026/2014","Requerimento de Registro de Extração","Registro de Extração","95.440.517/0001-08","Prefeitura Municipal de Santa Cruz do Sul","SANTA CRUZ DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810026/2016","Requerimento de Registro de Extração","Registro de Extração","87.490.306/0001-51","Prefeitura Municipal de Restinga Seca","RESTINGA SÊCA - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810026/2018","Requerimento de Registro de Extração","Registro de Extração","88.859.962/0001-41","MUNICÍPIO DE PEDRO OSÓRIO","PEDRO OSÓRIO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810027/2016","Requerimento de Registro de Extração","Registro de Extração","87.490.306/0001-51","Prefeitura Municipal de Restinga Seca","RESTINGA SÊCA - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810028/2014","Requerimento de Registro de Extração","Registro de Extração","87.246.120/0001-51","Municipio de Estrela ","ESTRELA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810029/2010","Requerimento de Registro de Extração","Registro de Extração","87.568.911/0001-06","Prefeitura Municipal de Candelária","CANDELÁRIA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810032/2010","Requerimento de Registro de Extração","Registro de Extração","87.297.271/0001-39","Município de Arroio do Meio","ARROIO DO MEIO - RS, CAPITÃO - RS","BASALTO","Pedra de talhe","Sim"
"Superintendência / RS","810033/2012","Requerimento de Registro de Extração","Registro de Extração","87.613.485/0001-77","Municipio de Victor Graeff","VICTOR GRAEFF - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810033/2015","Requerimento de Registro de Extração","Registro de Extração","94.721.388/0001-63","Prefeitura Municipal de Coronel Barros","CORONEL BARROS - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810033/2016","Requerimento de Registro de Extração","Registro de Extração","87.613.444/0001-80","Prefeitura Municipal de Campinas do Sul","CAMPINAS DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810034/2015","Requerimento de Registro de Extração","Registro de Extração","01.621.714/0001-80","Prefeitura Municipal de Muitos Capões – Rs","MUITOS CAPÕES - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810035/2015","Requerimento de Registro de Extração","Registro de Extração","01.621.714/0001-80","Prefeitura Municipal de Muitos Capões – Rs","MUITOS CAPÕES - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810036/2015","Requerimento de Registro de Extração","Registro de Extração","01.621.714/0001-80","Prefeitura Municipal de Muitos Capões – Rs","MUITOS CAPÕES - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810038/2018","Requerimento de Registro de Extração","Registro de Extração","87.612.834/0001-36","Horizontina Prefeitura","HORIZONTINA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810039/2018","Requerimento de Registro de Extração","Registro de Extração","87.612.834/0001-36","Horizontina Prefeitura","HORIZONTINA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810040/2018","Requerimento de Registro de Extração","Registro de Extração","87.612.834/0001-36","Horizontina Prefeitura","HORIZONTINA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810041/2018","Requerimento de Registro de Extração","Registro de Extração","87.612.834/0001-36","Horizontina Prefeitura","HORIZONTINA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810042/2017","Requerimento de Registro de Extração","Registro de Extração","87.489.910/0001-68","Prefeitura Municipal de São Pedro do Sul","SÃO PEDRO DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810042/2018","Requerimento de Registro de Extração","Registro de Extração","87.612.834/0001-36","Horizontina Prefeitura","HORIZONTINA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810043/2017","Requerimento de Registro de Extração","Registro de Extração","87.489.910/0001-68","Prefeitura Municipal de São Pedro do Sul","SÃO PEDRO DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810043/2018","Requerimento de Registro de Extração","Registro de Extração","87.612.834/0001-36","Horizontina Prefeitura","HORIZONTINA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810046/2010","Requerimento de Registro de Extração","Registro de Extração","87.613.287/0001-03","Prefeitura Municipal de Marcelino Ramos","MARCELINO RAMOS - RS","BASALTO","Revestimento","Sim"
"Superintendência / RS","810047/2011","Requerimento de Registro de Extração","Registro de Extração","87.297.271/0001-39","Município de Arroio do Meio","ARROIO DO MEIO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810048/2005","Requerimento de Registro de Extração","Registro de Extração","95.440.517/0001-08","Prefeitura Municipal de Santa Cruz do Sul","SANTA CRUZ DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810051/2017","Requerimento de Registro de Extração","Registro de Extração","92.453.927/0001-03","Município de Entre Rios do Sul","ENTRE RIOS DO SUL - RS","BASALTO, BASALTO","Pedra de talhe, Revestimento","Sim"
"Superintendência / RS","810053/2018","Requerimento de Registro de Extração","Registro de Extração","01.607.619/0001-21","Municipio de Marques de Souza","MARQUES DE SOUZA - RS","BASALTO, SAIBRO","Brita, Construção civil","Sim"
"Superintendência / RS","810055/2015","Requerimento de Registro de Extração","Registro de Extração","04.219.099/0001-78","Prefeitura Municipal de Pedras Altas","PEDRAS ALTAS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810055/2018","Requerimento de Registro de Extração","Registro de Extração","87.896.882/0001-01","Prefeitura Municipal de São Francisco de Assis","SÃO FRANCISCO DE ASSIS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810056/2018","Requerimento de Registro de Extração","Registro de Extração","87.297.990/0001-50","Prefeitura Municipal de Cruzeiro do Sul","BOM RETIRO DO SUL - RS, CRUZEIRO DO SUL - RS","CASCALHO, CASCALHO","Brita, Construção civil","Sim"
"Superintendência / RS","810057/2011","Requerimento de Registro de Extração","Registro de Extração","88.370.879/0001-04","Prefeitura Municipal de São Sebastião do Caí","SÃO SEBASTIÃO DO CAÍ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810058/2015","Requerimento de Registro de Extração","Registro de Extração","87.613.055/0001-55","Prefeitura Municipal de Chiapetta","CHIAPETTA - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810059/2011","Requerimento de Registro de Extração","Registro de Extração","87.613.576/0001-02","Prefeitura Municipal de Machadinho","MACHADINHO - RS","CASCALHO","Brita","Sim"
"Superintendência / RS","810059/2015","Requerimento de Registro de Extração","Registro de Extração","87.613.055/0001-55","Prefeitura Municipal de Chiapetta","CHIAPETTA - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810060/2014","Requerimento de Registro de Extração","Registro de Extração","88.661.400/0001-99","Município de Teutônia","TEUTÔNIA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810060/2015","Requerimento de Registro de Extração","Registro de Extração","97.761.407/0001-73","Prefeitura Municipal de Taquara","TAQUARA - RS","CASCALHO, SAIBRO","Construção civil, Construção civil","Sim"
"Superintendência / RS","810062/2015","Requerimento de Registro de Extração","Registro de Extração","94.068.418/0001-84","Mariana Pimentel Prefeitura Municipal","MARIANA PIMENTEL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810063/2011","Requerimento de Registro de Extração","Registro de Extração","01.615.515/0001-69","Prefeitura Municipal de Tabai","TABAÍ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810063/2018","Requerimento de Registro de Extração","Registro de Extração","87.612.867/0001-86","Prefeitura Municipal de Boa Vista do Buricá","BOA VISTA DO BURICÁ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810064/2018","Requerimento de Registro de Extração","Registro de Extração","87.612.867/0001-86","Prefeitura Municipal de Boa Vista do Buricá","BOA VISTA DO BURICÁ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810065/2018","Requerimento de Registro de Extração","Registro de Extração","87.613.162/0001-83","Município de Campo Novo","CAMPO NOVO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810075/2016","Requerimento de Registro de Extração","Registro de Extração","88.117.718/0001-03","Municipio de Butiá","BUTIÁ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810076/2007","Requerimento de Registro de Extração","Registro de Extração","01.607.619/0001-21","Municipio de Marques de Souza","MARQUES DE SOUZA - RS","BASALTO, SAIBRO","Brita, Construção civil","Sim"
"Superintendência / RS","810076/2010","Requerimento de Registro de Extração","Registro de Extração","92.406.511/0001-26","Prefeitura Municipal de São Jose do Herval","SÃO JOSÉ DO HERVAL - RS","BASALTO","Revestimento","Sim"
"Superintendência / RS","810076/2016","Requerimento de Registro de Extração","Registro de Extração","92.406.289/0001-61","Prefeitura Municipal de Lagoão","LAGOÃO - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810078/2018","Requerimento de Registro de Extração","Registro de Extração","92.123.918/0001-46","Prefeitura Municipal de Vale Real","VALE REAL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810079/2017","Requerimento de Registro de Extração","Registro de Extração","87.613.519/0001-23","Prefeitura Municipal de Não Me Toque","NÃO-ME-TOQUE - RS","BASALTO, BASALTO, SAIBRO","Brita, Construção civil, Pedra de talhe","Sim"
"Superintendência / RS","810080/2006","Requerimento de Registro de Extração","Registro de Extração","93.235.961/0001-88","PREFEITURA MUNICIPAL DE SÃO PEDRO DA SERRA","SÃO PEDRO DA SERRA - RS","SAIBRO","Revestimento","Sim"
"Superintendência / RS","810080/2014","Requerimento de Registro de Extração","Registro de Extração","92.411.974/0001-86","Prefeitura Municipal de Nicolau Vergueiro","NICOLAU VERGUEIRO - RS","BASALTO, SAIBRO","Construção civil, Revestimento","Sim"
"Superintendência / RS","810081/2010","Requerimento de Registro de Extração","Registro de Extração","92.123.926/0001-92","Prefeitura Municipal de Alto Feliz","ALTO FELIZ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810081/2011","Requerimento de Registro de Extração","Registro de Extração","87.613.444/0001-80","Prefeitura Municipal de Campinas do Sul","CAMPINAS DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810085/2011","Requerimento de Registro de Extração","Registro de Extração","88.254.891/0001-53","Dois Irmãos Prefeitura","DOIS IRMÃOS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810085/2014","Requerimento de Registro de Extração","Registro de Extração","88.601.943/0001-10","Município de Dom Feliciano","DOM FELICIANO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810086/2013","Requerimento de Registro de Extração","Registro de Extração","94.706.124/0001-30","Travesseiro Prefeitura","TRAVESSEIRO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810086/2018","Requerimento de Registro de Extração","Registro de Extração","01.613.360/0001-21","Prefeitura Municipal de Doutor Ricardo","DOUTOR RICARDO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810087/2014","Requerimento de Registro de Extração","Registro de Extração","94.721.388/0001-63","Prefeitura Municipal de Coronel Barros","CORONEL BARROS - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810089/2018","Requerimento de Registro de Extração","Registro de Extração","04.213.870/0001-08","Prefeitura Municipal de Pinhal da Serra","PINHAL DA SERRA - RS","BASALTO, SAIBRO","Brita, Construção civil","Sim"
"Superintendência / RS","810091/2010","Requerimento de Registro de Extração","Registro de Extração","91.110.296/0001-59","Prefeitura Municipal de Nova Roma do Sul","NOVA ROMA DO SUL - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810092/2008","Requerimento de Registro de Extração","Registro de Extração","04.215.994/0001-14","Prefeitura Municipal de Quatro Irmãos","QUATRO IRMÃOS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810092/2015","Requerimento de Registro de Extração","Registro de Extração","88.546.890/0001-82","Prefeitura Municipal de Santa Rosa","SANTA ROSA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810093/2008","Requerimento de Registro de Extração","Registro de Extração","04.215.994/0001-14","Prefeitura Municipal de Quatro Irmãos","QUATRO IRMÃOS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810093/2011","Requerimento de Registro de Extração","Registro de Extração","92.122.753/0001-98","Prefeitura Municipal de São José do Hortêncio","SÃO JOSÉ DO HORTÊNCIO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810096/2016","Requerimento de Registro de Extração","Registro de Extração","97.229.181/0001-64","Prefeitura Municipal de São Sepé","SÃO SEPÉ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810098/2018","Requerimento de Registro de Extração","Registro de Extração","87.613.592/0001-03","Prefeitura Muinicipal de Ibiaçá","IBIAÇÁ - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810102/2017","Requerimento de Registro de Extração","Registro de Extração","91.987.719/0001-13","Municipio de Santa Tereza ","SANTA TEREZA - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810103/2010","Requerimento de Registro de Extração","Registro de Extração","88.587.183/0001-34","Município de Carlos Barbosa","CARLOS BARBOSA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810106/2017","Requerimento de Registro de Extração","Registro de Extração","87.613.444/0001-80","Prefeitura Municipal de Campinas do Sul","CAMPINAS DO SUL - RS","BASALTO, CASCALHO, SAIBRO","Construção civil, Construção civil, Pedra de talhe","Sim"
"Superintendência / RS","810107/2017","Requerimento de Registro de Extração","Registro de Extração","87.613.444/0001-80","Prefeitura Municipal de Campinas do Sul","CAMPINAS DO SUL - RS","CASCALHO, SAIBRO","Construção civil, Construção civil","Sim"
"Superintendência / RS","810109/2017","Requerimento de Registro de Extração","Registro de Extração","94.577.590/0001-63","Prefeitura Municipal de Mato Leitão","CRUZEIRO DO SUL - RS, MATO LEITÃO - RS","CASCALHO, CASCALHO","Brita, Construção civil","Sim"
"Superintendência / RS","810109/2018","Requerimento de Registro de Extração","Registro de Extração","04.213.779/0001-84","Prefeitura Municipal Decapão do Cipó","CAPÃO DO CIPÓ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810110/2015","Requerimento de Registro de Extração","Registro de Extração","88.370.879/0001-04","Prefeitura Municipal de São Sebastião do Caí","SÃO SEBASTIÃO DO CAÍ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810110/2018","Requerimento de Registro de Extração","Registro de Extração","04.213.779/0001-84","Prefeitura Municipal Decapão do Cipó","CAPÃO DO CIPÓ - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810112/2015","Requerimento de Registro de Extração","Registro de Extração","87.613.519/0001-23","Prefeitura Municipal de Não Me Toque","NÃO-ME-TOQUE - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810116/2015","Requerimento de Registro de Extração","Registro de Extração","04.158.995/0001-74","Prefeitura Municipal de Itati","ITATI - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810118/2017","Requerimento de Registro de Extração","Registro de Extração","04.204.318/0001-45","Município de Mato Queimado","MATO QUEIMADO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810119/2017","Requerimento de Registro de Extração","Registro de Extração","04.204.318/0001-45","Município de Mato Queimado","MATO QUEIMADO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810120/2017","Requerimento de Registro de Extração","Registro de Extração","04.204.318/0001-45","Município de Mato Queimado","MATO QUEIMADO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810121/2017","Requerimento de Registro de Extração","Registro de Extração","87.530.978/0001-43","Prefeitura Municipal de Cachoeira do Sul","CACHOEIRA DO SUL - RS","BASALTO, CASCALHO, CASCALHO","Brita, Brita, Construção civil","Sim"
"Superintendência / RS","810122/2017","Requerimento de Registro de Extração","Registro de Extração","87.860.763/0001-90","Município de Salvador do Sul","SÃO PEDRO DA SERRA - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810122/2018","Requerimento de Registro de Extração","Registro de Extração","88.138.292/0001-74","Prefeitura Municipal de Rosario do Sul","ROSÁRIO DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810123/2017","Requerimento de Registro de Extração","Registro de Extração","87.860.763/0001-90","Município de Salvador do Sul","SALVADOR DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810124/2018","Requerimento de Registro de Extração","Registro de Extração","88.138.292/0001-74","Prefeitura Municipal de Rosario do Sul","ROSÁRIO DO SUL - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810125/2010","Requerimento de Registro de Extração","Registro de Extração","88.661.400/0001-99","Município de Teutônia","TEUTÔNIA - RS","BASALTO, SAIBRO","Brita, Construção civil","Sim"
"Superintendência / RS","810125/2018","Requerimento de Registro de Extração","Registro de Extração","88.572.748/0001-00","PREFEITURA MUNICIPAL DE NOVA PETRÓPOLIS","NOVA PETRÓPOLIS - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810128/2016","Requerimento de Registro de Extração","Registro de Extração","87.612.800/0001-41","Município de Três de Maio","TRÊS DE MAIO - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810128/2018","Requerimento de Registro de Extração","Registro de Extração","88.124.961/0001-59","Prefeitura Municipal de Sant'ana do Livramento","SANT'ANA DO LIVRAMENTO - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810129/2016","Requerimento de Registro de Extração","Registro de Extração","92.465.228/0001-75","Município de Alegria","ALEGRIA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810130/2016","Requerimento de Registro de Extração","Registro de Extração","92.465.228/0001-75","Município de Alegria","ALEGRIA - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810131/2010","Requerimento de Registro de Extração","Registro de Extração","88.572.748/0001-00","PREFEITURA MUNICIPAL DE NOVA PETRÓPOLIS","NOVA PETRÓPOLIS - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810131/2016","Requerimento de Registro de Extração","Registro de Extração","01.621.714/0001-80","Prefeitura Municipal de Muitos Capões – Rs","MUITOS CAPÕES - RS","CASCALHO","Construção civil","Sim"
"Superintendência / RS","810132/2016","Requerimento de Registro de Extração","Registro de Extração","87.531.976/0001-79","Prefeitura Municipal de Agudo","AGUDO - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810132/2017","Requerimento de Registro de Extração","Registro de Extração","87.334.918/0001-55","Município de Venâncio Aires","VENÂNCIO AIRES - RS","SAIBRO","Construção civil","Sim"
"Superintendência / RS","810133/2016","Requerimento de Registro de Extração","Registro de Extração","87.531.976/0001-79","Prefeitura Municipal de Agudo","AGUDO - RS","BASALTO","Brita","Sim"
"Superintendência / RS","810133/2017","Requerimento de Registro de Extração","Registro de Extração","87.334.918/0001-55","Município de Venâncio Aires","VENÂNCIO AIRES - RS","SAIBRO","Construção civil","Sim"
